File name;Number;Metadata
MDUP11001411AA-TTV.csv;0;{\an7}MDUP-110014/11 A  t-tv    508t
MDUP11001411AA-TTV.csv;1;Brennpunkt
MDUP11001411AA-TTV.csv;2;Navn: MDUP11001411AA
MDUP11001411AA-TTV.csv;3;Type: TTV
MDUP11001411AA-TTV.csv;4;Oppsett: 0
MDUP11001411AA-TTV.csv;5;Variant: BOK
MDUP11001411AA-TTV.csv;6;000 000
MDUP11001411AA-TTV.csv;7;00:00:00:00 - 00:59:33:03  59'33''
MDUP11001411AA-TTV.csv;8;11.10.11
MDUP11001411AA-TTV.csv;9;thk
MYNT15000916AA-TTV.csv;0;{\an7}MYNT15000916A   ttv   118t
MYNT15000916AA-TTV.csv;1;Skam 9:13
MYNT15000916AA-TTV.csv;2;Navn: MYNT15000916AA
MYNT15000916AA-TTV.csv;3;Type: TTV
MYNT15000916AA-TTV.csv;4;Oppsett: 0
MYNT15000916AA-TTV.csv;5;Variant: BOK
MYNT15000916AA-TTV.csv;6;wmv
MYNT15000916AA-TTV.csv;7;21'10
DHLN04003496-TTV.csv;0;{\an7}Original P-kode: DHLN04003496 TTV
DHLN04003496-TTV.csv;1;NORGE rundt og rundt
DHLN04003496-TTV.csv;2;Navn: DHLN04003496
DHLN04003496-TTV.csv;3;Type: TTV
DHLN04003496-TTV.csv;4;Oppsett: 0
DHLN04003496-TTV.csv;5;Variant: BOK
DHLN04003496-TTV.csv;6;DHLN04003496A t-tv 150 t
DHLN04003496-TTV.csv;7;00:02:47 - 00:27:20 24'33''
DHLN04003496-TTV.csv;8;23.08.96/28.08.16
DHLN04003496-TTV.csv;9;<i>ARK</i> ita
MSUB18000214AA-TTV.csv;0;{\an7}MSUB 180002/14 A  t-tv  364 t
MSUB18000214AA-TTV.csv;1;Best i mest 2
MSUB18000214AA-TTV.csv;2;Navn: MSUB18000214AA
MSUB18000214AA-TTV.csv;3;Type: TTV
MSUB18000214AA-TTV.csv;4;Oppsett: 0
MSUB18000214AA-TTV.csv;5;Variant: BOK
MSUB18000214AA-TTV.csv;6;000 000
MSUB18000214AA-TTV.csv;7;00:00:00:00 - 00:39:47:18    39'47''
MSUB18000214AA-TTV.csv;8;10.10.14
MSUB18000214AA-TTV.csv;9;thk
DOOF55000918AA-TTV.csv;0;{\an7}DOOF55000918A       t-tv     335 t
DOOF55000918AA-TTV.csv;1;Hagen min 9:9
DOOF55000918AA-TTV.csv;2;Navn: DOOF55000918AA
DOOF55000918AA-TTV.csv;3;Type: TTV
DOOF55000918AA-TTV.csv;4;Oppsett: 0
DOOF55000918AA-TTV.csv;5;Variant: BOK
DOOF55000918AA-TTV.csv;6;DOOF55000918AA
DOOF55000918AA-TTV.csv;7;39'17''
DOOF55000918AA-TTV.csv;8;22.05.18
DOOF55000918AA-TTV.csv;9;akr
NNFA07110818AH-TTV.csv;0;{\an7}NNFA-071108-18AH t-tv 132 t
NNFA07110818AH-TTV.csv;1;Politisk kvarter
NNFA07110818AH-TTV.csv;2;Navn: NNFA07110818AH
NNFA07110818AH-TTV.csv;3;Type: TTV
NNFA07110818AH-TTV.csv;4;Oppsett: 5
NNFA07110818AH-TTV.csv;5;Variant: BOK
