Wordcloud ID;Program ID;Program topics
1;1;('NNFA19061118AH-TTV.csv', (5, 0.63312167))
1;2;('NNFA53031716AH-TTV.csv', (5, 0.8443465))
2;1;('DKRO99010319AA-TTV.csv', (0, 0.7405449))
2;2;('DKHO99092518AA-TTV.csv', (0, 0.7866567))
3;1;[('NNFA19092618AH-TTV.csv', [(3, 0.34331134), (1, 0.1881503), (7, 0.18068011), (2, 0.14210276), (5, 0.12505369)])]
3;2;[('MSUB17009011AA-TTV.csv', [(3, 0.9975328)])]
4;1;('NNFA21040319AH-TTV.csv', (4, 0.7334268))
4;2;('NNFA52021417AH-TTV.csv', (4, 0.6286273))
5;1;[('DVNR08000616AA-TTV.csv', [(0, 0.9902501)])]
5;2;[('MSUB07002312AA-TTV.csv', [(0, 0.65105414), (3, 0.26048362), (5, 0.08697534)])]
6;1;[('DKOA99101518AA-TTV.csv', [(1, 0.5561774), (3, 0.19532792), (4, 0.14847207), (7, 0.055186164), (2, 0.042709157)])]
6;2;[('DKMR99122018AA-TTV.csv', [(1, 0.9962303)])]
